Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7 uF","C_0402_1005Metric",187.000000,-121.500000,-90.000000,bottom
"C2","4.7 uF","C_0603_1608Metric",164.500000,-30.000000,180.000000,bottom
"C3","4.7 uF","C_0603_1608Metric",187.500000,-27.000000,-90.000000,bottom
"D1","1N4148WT","D_SOD-523",25.990000,-42.080000,90.000000,bottom
"D2","1N4148WT","D_SOD-523",45.040000,-42.080000,90.000000,bottom
"D3","1N4148WT","D_SOD-523",64.090000,-42.080000,90.000000,bottom
"D4","1N4148WT","D_SOD-523",83.140000,-42.080000,90.000000,bottom
"D5","1N4148WT","D_SOD-523",102.190000,-42.080000,90.000000,bottom
"D6","1N4148WT","D_SOD-523",121.240000,-42.080000,90.000000,bottom
"D7","1N4148WT","D_SOD-523",140.290000,-42.080000,90.000000,bottom
"D8","1N4148WT","D_SOD-523",159.340000,-42.080000,90.000000,bottom
"D9","1N4148WT","D_SOD-523",178.390000,-42.080000,90.000000,bottom
"D10","1N4148WT","D_SOD-523",197.440000,-42.080000,90.000000,bottom
"D11","1N4148WT","D_SOD-523",216.490000,-42.080000,90.000000,bottom
"D12","1N4148WT","D_SOD-523",235.540000,-42.080000,90.000000,bottom
"D13","1N4148WT","D_SOD-523",254.590000,-42.080000,90.000000,bottom
"D14","1N4148WT","D_SOD-523",273.640000,-42.080000,90.000000,bottom
"D15","1N4148WT","D_SOD-523",292.690000,-42.080000,90.000000,bottom
"D16","1N4148WT","D_SOD-523",311.740000,-42.080000,90.000000,bottom
"D17","1N4148WT","D_SOD-523",25.990000,-61.130000,90.000000,bottom
"D18","1N4148WT","D_SOD-523",45.040000,-61.130000,90.000000,bottom
"D19","1N4148WT","D_SOD-523",64.090000,-61.130000,90.000000,bottom
"D20","1N4148WT","D_SOD-523",83.140000,-61.130000,90.000000,bottom
"D21","1N4148WT","D_SOD-523",102.190000,-61.130000,90.000000,bottom
"D22","1N4148WT","D_SOD-523",121.240000,-61.130000,90.000000,bottom
"D23","1N4148WT","D_SOD-523",140.290000,-61.130000,90.000000,bottom
"D24","1N4148WT","D_SOD-523",159.340000,-61.130000,90.000000,bottom
"D25","1N4148WT","D_SOD-523",178.390000,-61.130000,90.000000,bottom
"D26","1N4148WT","D_SOD-523",197.440000,-61.130000,90.000000,bottom
"D27","1N4148WT","D_SOD-523",216.490000,-61.130000,90.000000,bottom
"D28","1N4148WT","D_SOD-523",235.540000,-61.130000,90.000000,bottom
"D29","1N4148WT","D_SOD-523",254.590000,-61.130000,90.000000,bottom
"D30","1N4148WT","D_SOD-523",283.165000,-61.130000,90.000000,bottom
"D31","1N4148WT","D_SOD-523",311.740000,-61.130000,90.000000,bottom
"D32","1N4148WT","D_SOD-523",30.752500,-80.180000,90.000000,bottom
"D33","1N4148WT","D_SOD-523",54.565000,-80.180000,90.000000,bottom
"D34","1N4148WT","D_SOD-523",73.615000,-80.180000,90.000000,bottom
"D35","1N4148WT","D_SOD-523",92.665000,-80.180000,90.000000,bottom
"D36","1N4148WT","D_SOD-523",111.715000,-80.180000,90.000000,bottom
"D37","1N4148WT","D_SOD-523",130.765000,-80.180000,90.000000,bottom
"D38","1N4148WT","D_SOD-523",149.815000,-80.180000,90.000000,bottom
